"hotel","location","nearest place","rating","reviews score","count of riviews","hotel type","room type"
"FabHotel Sasti Inn","Thoraipakkam, Chennai","10.5 km from centre","8.4","Very good","300 reviews","Deluxe Room","1 large double bed"
"Ibis Chennai OMR - An Accor Brand","Sholinganallur, Chennai","15.1 km from centre","7.7","Good","2,415 reviews","Deluxe Queen Bed Room - Sweet Bed by ibis","1 large double bed"
"ibis Chennai City Centre - An Accor Brand","Central Chennai, Chennai","3.1 km from centre","7.1","Good","1,526 reviews","Standard Queen Bed with Extra Benefits","1 double bed"
"ibis Chennai Sipcot - An Accor Brand","SIPCOT IT Park, Chennai","23.3 km from centre","7.4","Good","1,632 reviews","Standard Room Queen Bed","1 large double bed"
"Fairfield by Marriott Chennai OMR","Old Mahabalipuram Road, Chennai","18.3 km from centre","7.8","Good","856 reviews","Fairfield Twin Room","3 beds (2 singles, 1 sofa bed)"
"FabHotel Nestlay Rooms Airport","South Chennai, Chennai","6.4 km from centre","8.2","Very good","1,164 reviews","Deluxe Room","2 single beds"
"Treebo Trend Eco Stay T Nagar","T - Nagar, Chennai","0.9 km from centre","9.6","Exceptional","7 reviews","Standard Double Room","1 large double bed"
"Blossoms Hotel & Service Apartments","T - Nagar, Chennai","0.7 km from centre","8.8","Fabulous","5 reviews","Standard Double Room","1 large double bed"
"Citadines OMR Chennai","Sholinganallur, Chennai","15.6 km from centre","8.4","Very good","2,089 reviews","Studio Deluxe","1 large double bed"
"Four Points by Sheraton Chennai OMR","Old Mahabalipuram Road, Chennai","18.4 km from centre","7.5","Good","752 reviews","Superior Double Bed Room With 10% Off on Restaurant","1 extra-large double bed"
"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel","Thoraipakkam, Chennai","12.3 km from centre","6.3","Review score","1,187 reviews","Queen Room - Mobility Access/Non-Smoking","1 double bed"
"Hotel Benzz Park Chennai","T - Nagar, Chennai","0.9 km from centre","7.7","Good","4 reviews","Deluxe Double Room","1 large double bed"
"Hotel Beebiz Guindy","South Chennai, Chennai","2.9 km from centre","7.2","Good","250 reviews","Deluxe Room","Beds: 1 double or 2 singles"
"Treebo Trend Golden Swan Airport Free Pick & Drop","South Chennai, Chennai","12.6 km from centre","7.8","Good","1,433 reviews","Standard Double Room","1 large double bed"
"Treebo Trend Elan","Nungambakkam, Chennai","1.7 km from centre","6.9","Review score","356 reviews","Standard Double Room","2 single beds"
"Novotel Chennai Sipcot","SIPCOT IT Park, Chennai","23.3 km from centre","8.1","Very good","1,445 reviews","Superior King Room","1 extra-large double bed"
"FabExpress P.A.S Residency","Mylapore, Chennai","4.3 km from centre","8.1","Very good","1,650 reviews","Deluxe Room","1 double bed"
"Essentia Premier Hotel, Chennai","Thoraipakkam, Chennai","10 km from centre","8.3","Very good","550 reviews","Standard Queen Room","1 single bed"
"Vivanta Chennai IT Expressway OMR","Sholinganallur, Chennai","15 km from centre","8.3","Very good","1,712 reviews","Superior Room OMR View 25% Off on Food & Soft Beverages","1 extra-large double bed"
"Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur","Chennai","10.2 km from centre","8.2","Very good","325 reviews","Comfort Double","1 double bed"
"Radisson Blu Hotel Chennai City Centre","Egmore-Nungambakam, Chennai","3.8 km from centre","8.3","Very good","2,080 reviews","Standard Double or Twin Room","Beds: 1 double or 2 singles"
"FabExpress B Zone","Nungambakkam, Chennai","2.1 km from centre","8.3","Very good","1,156 reviews","Deluxe Room","1 double bed"
"FabHotel Skyry","T - Nagar, Chennai","1 km from centre","7.2","Good","283 reviews","Deluxe Room","1 large double bed"
"Treebo Trend Pechis Castle","Nungambakkam, Chennai","3 km from centre","7.8","Good","196 reviews","[Sanitized] Standard Double or Twin Room","Beds: 1 double or 2 singles"
"Treebo Trend Vapr Guindy Ekkatuthangal","South Chennai, Chennai","3.7 km from centre","7.8","Good","288 reviews","Deluxe Double Room","Multiple bed types"
"Avenue 11 Boutique Residences, Poes Garden Chennai","Central Chennai, Chennai","2.1 km from centre","8.3","Very good","626 reviews","Standard Double Room - No Windows","1 large double bed"
"UPAR Hotels Thoraipakkam, OMR","Thoraipakkam, Chennai","10.5 km from centre","7.2","Good","332 reviews","Standard Double Room","1 large double bed"
"Quality Inn Sabari","T - Nagar, Chennai","1.1 km from centre","7.6","Good","200 reviews","Executive Double or Twin Room","Multiple bed types"
"Rohaan Inn - UPAR Hotels Ashok Nagar","Central Chennai, Chennai","2.1 km from centre","7.5","Good","150 reviews","Deluxe Double Room","1 extra-large double bed"
"Novotel Chennai Chamiers Road","Central Chennai, Chennai","1.6 km from centre","8.1","Very good","1,750 reviews","Superior Room with Two single beds","Beds: 1 double or 2 singles"
"Taj Club House","Central Chennai, Chennai","4 km from centre","7.9","Good","1,463 reviews","Superior Queen Room","1 large double bed"
"Itsy By Treebo - Deluxe Inn","T - Nagar, Chennai","0.7 km from centre","6.7","Review score","368 reviews","[Sanitized] Double Room","1 large double bed"
"DrizzleDrop Inn Chennai","Thoraipakkam, Chennai","11.8 km from centre","7.8","Good","71 reviews","Standard Double Room","1 double bed"
"FabHotel Blossoms Service Apartment","T - Nagar, Chennai","0.7 km from centre","7.8","Good","917 reviews","Deluxe Room","1 double bed"
"Turyaa Chennai - OMR IT Expressway","South Chennai, Chennai","7.7 km from centre","8.0","Very good","883 reviews","Deluxe Room","1 extra-large double bed"
"Hotel Park Elanza Chennai","Nungambakkam, Chennai","2 km from centre","6.9","Review score","439 reviews","Deluxe Double Room","1 large double bed"
"Holiday Inn Chennai OMR IT Expressway, an IHG Hotel","Thiruvanmiyur, Chennai","7 km from centre","7.8","Good","986 reviews","Deluxe King Room","1 extra-large double bed"
"Itsy By Treebo - Elite Inn","Porur, Chennai","9 km from centre","6.8","Review score","102 reviews","Standard Double Room","1 large double bed"
"Hyatt Regency Chennai","Central Chennai, Chennai","1.6 km from centre","7.5","Good","1,500 reviews","King Room","1 extra-large double bed"
"Courtyard by Marriott Chennai","T - Nagar, Chennai","1.7 km from centre","8.1","Very good","1,147 reviews","Deluxe Double Room","1 double bed"
"Chippy Inn","South Chennai, Chennai","7.6 km from centre","8.0","Very good","228 reviews","Deluxe Queen Room","1 double bed"
"Treebo Trend Tia Value","South Chennai, Chennai","9.4 km from centre","7.5","Good","140 reviews","[Sanitized] Standard Double or Twin Room","1 single bed"
"Treebo Trend Vetri Supreme Residency","T - Nagar, Chennai","1.2 km from centre","6.1","Review score","69 reviews","Double Room","Beds: 1 double or 2 singles"
"Al Noor Palace Business Class Hotel","Triplicane, Chennai","5.1 km from centre","7.4","Good","270 reviews","Deluxe Double Room","1 extra-large double bed"
"Upar Hotels Nungambakkam Nearby US Consulate Apollo hospital Sankara Nethralaya","Nungambakkam, Chennai","2.4 km from centre","7.6","Good","477 reviews","Deluxe Double Room (2 Adults + 1 Child)","1 double bed"
"FabExpress Nestlay Rooms","Chennai","9 km from centre","8.2","Very good","305 reviews","(Sanitised) Superior Double Room","1 extra-large double bed"
"The Hydel Park - Business Class Hotel - Near Central Railway Station","Central Chennai, Chennai","6.1 km from centre","8.1","Very good","548 reviews","Deluxe Double Room","1 double bed"
"Treebo Trend Fourth Avenue","Central Chennai, Chennai","5.2 km from centre","6.9","Review score","164 reviews","Deluxe Double Room","Beds: 1 double or 2 singles"
"FabHotel I Live Inn","South Chennai, Chennai","8.2 km from centre","7.8","Good","6 reviews","Deluxe Room","1 double bed"
"E Hotel","Central Chennai, Chennai","3.9 km from centre","7.5","Good","355 reviews","Deluxe Double Room With 10% off on Food & Soft Beverage","Beds: 1 double or 2 singles"
"Hotel Aadithya","Chennai","3.2 km from centre","7.4","Good","218 reviews","Deluxe King Room","1 large double bed"
"RR Mount Elite Suites","Central Chennai, Chennai","4.6 km from centre","8.8","Fabulous","220 reviews","Twin Room","2 single beds"
"FabHotel Colors Service Apartment","Central Chennai, Chennai","4.8 km from centre","7.6","Good","477 reviews","Deluxe Room","1 double bed"
"Treebo Trend Rithikha Inn Elite Chennai Trade Centre","South Chennai, Chennai","7 km from centre","6.7","Review score","136 reviews","Standard Double Room","Multiple bed types"
"FabHotel Sky Bay","Central Chennai, Chennai","2.3 km from centre","7.8","Good","426 reviews","(Sanitised) Superior Double Room","1 double bed"
"SUPREME STAY","Triplicane, Chennai","5.3 km from centre","7.6","Good","269 reviews","Deluxe Double Room","1 double bed"
"FabHotel Home Tree Service Apartment","Central Chennai, Chennai","5.7 km from centre","7.2","Good","210 reviews","Deluxe Room","1 double bed"
"The Park Chennai","T - Nagar, Chennai","2.3 km from centre","6.3","Review score","2,132 reviews","Deluxe Queen Room","1 large double bed"
"S Hotels Chennai","T - Nagar, Chennai","0.8 km from centre","7.3","Good","191 reviews","Studio","1 extra-large double bed"
"Mount Manor","South Chennai, Chennai","6.4 km from centre","6.5","Review score","201 reviews","Standard Double Room","1 double bed"
"PHP BOUTIQUE TOWNHOUSE","Thiruvanmiyur, Chennai","6.3 km from centre","7.3","Good","125 reviews","Superior Queen Room","1 large double bed"
"Pine Tree Signature","Guindy, Chennai","3.4 km from centre","5.6","Review score","100 reviews","Standard Double Room","Beds: 1 double or 2 singles"
"The Residency, Chennai","T - Nagar, Chennai","0.9 km from centre","7.7","Good","585 reviews","Superior Room","Beds: 1 double or 2 singles"
"Treebo Trend Nestlay Rooms Gummidipoondi","Chennai","39.1 km from centre","9.4","Superb","8 reviews","Standard Room With Hi-Speed Wifi","1 large double bed"
"Townhouse Orchid Residency Nandanam","Central Chennai, Chennai","1.6 km from centre","6.7","Review score","155 reviews","Deluxe Double Room","1 extra-large double bed"
"The Kings Park Grand-Near US Consulate","Nungambakkam, Chennai","2.1 km from centre","7.4","Good","342 reviews","Standard Double Room","1 extra-large double bed"
"Treebo Trend Nestlay Casa","Egmore-Nungambakam, Chennai","4 km from centre","7.0","Good","358 reviews","Standard Double Room","1 extra-large double bed"
"A.R Residency","T - Nagar, Chennai","0.6 km from centre","7.7","Good","88 reviews","Deluxe Double Room with Balcony","1 double bed"
"Beverly Hotel","Central Chennai, Chennai","4.3 km from centre","7.2","Good","79 reviews","Standard Double Room","1 double bed"
"Pharos Hotels","Nungambakkam, Chennai","3 km from centre","8.0","Very good","247 reviews","Double or Twin Room","1 double bed"
"Kings Palace","South Chennai, Chennai","3.9 km from centre","8.3","Very good","82 reviews","Deluxe Double","1 large double bed"
"The Raintree, St. Mary’s Road","Central Chennai, Chennai","2.4 km from centre","8.7","Fabulous","1,452 reviews","Deluxe Double or Twin Room","Multiple bed types"
"Le' Banyan inn","Chennai","37.5 km from centre","7.5","Good","4 reviews","Double Room with Balcony","1 double bed"
"Park Plaza Chennai OMR","Thoraipakkam, Chennai","10.9 km from centre","6.9","Review score","311 reviews","Deluxe Double Room","1 double bed"
"HOTEL RAAJ GRAND","South Chennai, Chennai","3.7 km from centre","7.4","Good","98 reviews","Double Room","1 single bed"
"Townhouse G SILVER HOTELS NEAR US BIOMETRIC","Nungambakkam, Chennai","2.1 km from centre","7.1","Good","243 reviews","Deluxe Triple Room","1 extra-large double bed"
"Collectipn O Pradee Queen Resort","Chennai","37.7 km from centre","8.2","Very good","12 reviews","Classic Triple Room","1 large double bed"
"FabHotel Royal Park Residency","Central Chennai, Chennai","4.6 km from centre","5.8","Review score","44 reviews","Deluxe Room","1 double bed"
"Floressa Randa, Porur","Chennai","10.3 km from centre","7.3","Good","140 reviews","Deluxe Room","Multiple bed types"
"Itsy By Treebo - Mirra","South Chennai, Chennai","7.4 km from centre","7.0","Good","198 reviews","[Sanitized] Deluxe Twin Room","1 single bed"
"Radha Regent, Chennai","Koyambedu, Chennai","3.7 km from centre","7.4","Good","432 reviews","Superior Double or Twin Room","Multiple bed types"
"Niketana @ Boat Club","South Chennai, Chennai","2.6 km from centre","7.8","Good","65 reviews","Deluxe Room","1 extra-large double bed"
"V V Grand","Central Chennai, Chennai","1 km from centre","8.6","Fabulous","16 reviews","Standard Double Room","1 single bed"
"Arunaachalaa Resiidency","Triplicane, Chennai","5.3 km from centre","7.4","Good","82 reviews","Deluxe Double Room","1 large double bed"
"Treebo Trend Adin Residence Chennai Trade Centre","Nandambakkam, Chennai","6.2 km from centre","6.7","Review score","113 reviews","[Sanitized] Deluxe Double Room","1 large double bed"
"The Residency Towers","T - Nagar, Chennai","1.1 km from centre","8.4","Very good","708 reviews","Premier Room","Multiple bed types"
"Gokulam Park Sabari-Siruseri SIPCOT","Old Mahabalipuram Road, Chennai","22.1 km from centre","7.5","Good","51 reviews","Deluxe Twin Room with Free Drop to Sipcot IT Park","2 single beds"
"Season 4 Residences - Nungambakkam Near US consulate, Apollo Hospital, Shankar Nethralaya","Nungambakkam, Chennai","2 km from centre","7.0","Good","636 reviews","Deluxe Double or Twin Room","Beds: 1 double or 2 singles"
"Grand Chennai by GRT Hotels","T - Nagar, Chennai","1.2 km from centre","8.6","Fabulous","1,353 reviews","Business Double or Twin Room","Beds: 1 double or 2 singles"
"Ambassador Pallava","Egmore-Nungambakam, Chennai","4 km from centre","7.4","Good","226 reviews","Deluxe Room","1 large double bed"
"Madras Regency","Chennai","4.5 km from centre","6.9","Review score","12 reviews","Deluxe Double Room","1 double bed"
"FabHotel Welcome Inn","Chennai","7.2 km from centre","6.2","Review score","25 reviews","Deluxe Room","1 double bed"
"Hotel La Castle","Koyambedu, Chennai","4.6 km from centre","6.6","Review score","173 reviews","Deluxe Room","Multiple bed types"
"Pride Hotel, Chennai","Central Chennai, Chennai","4.6 km from centre","5.5","Review score","198 reviews","Deluxe Double Room with 15% off on Food & Soft Beverages","2 beds (1 double, 1 futon)"
"SKM REGENCY","Central Chennai, Chennai","6.1 km from centre","7.5","Good","175 reviews","Deluxe Twin Room","2 single beds"
"Upar Hotels Cinecity Kodambakkam RAGHAVENDRA MANDAPAM","Central Chennai, Chennai","1.6 km from centre","7.0","Good","213 reviews","Twin Room","1 single bed"
"RATHNA RESIDENCY - Near US CONSULATE","T - Nagar, Chennai","1.9 km from centre","8.3","Very good","290 reviews","Deluxe Room","1 extra-large double bed"
"FabHotel Sasti Inn","Thoraipakkam, Chennai","10.5 km from centre","8.4","Very good","300 reviews","Deluxe Room","1 large double bed"
"Ibis Chennai OMR - An Accor Brand","Sholinganallur, Chennai","15.1 km from centre","7.7","Good","2,415 reviews","Deluxe Queen Bed Room - Sweet Bed by ibis","1 large double bed"
"ibis Chennai City Centre - An Accor Brand","Central Chennai, Chennai","3.1 km from centre","7.1","Good","1,526 reviews","Standard Queen Bed with Extra Benefits","1 double bed"
"ibis Chennai Sipcot - An Accor Brand","SIPCOT IT Park, Chennai","23.3 km from centre","7.4","Good","1,632 reviews","Standard Room Queen Bed","1 large double bed"
"Fairfield by Marriott Chennai OMR","Old Mahabalipuram Road, Chennai","18.3 km from centre","7.8","Good","856 reviews","Fairfield Twin Room","3 beds (2 singles, 1 sofa bed)"
"FabHotel Nestlay Rooms Airport","South Chennai, Chennai","6.4 km from centre","8.2","Very good","1,164 reviews","Deluxe Room","2 single beds"
"Treebo Trend Eco Stay T Nagar","T - Nagar, Chennai","0.9 km from centre","9.6","Exceptional","7 reviews","Standard Double Room","1 large double bed"
"Blossoms Hotel & Service Apartments","T - Nagar, Chennai","0.7 km from centre","8.8","Fabulous","5 reviews","Standard Double Room","1 large double bed"
"Citadines OMR Chennai","Sholinganallur, Chennai","15.6 km from centre","8.4","Very good","2,089 reviews","Studio Deluxe","1 large double bed"
"Four Points by Sheraton Chennai OMR","Old Mahabalipuram Road, Chennai","18.4 km from centre","7.5","Good","752 reviews","Superior Double Bed Room With 10% Off on Restaurant","1 extra-large double bed"
"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel","Thoraipakkam, Chennai","12.3 km from centre","6.3","Review score","1,187 reviews","Queen Room - Mobility Access/Non-Smoking","1 double bed"
"Hotel Benzz Park Chennai","T - Nagar, Chennai","0.9 km from centre","7.7","Good","4 reviews","Deluxe Double Room","1 large double bed"
"Hotel Beebiz Guindy","South Chennai, Chennai","2.9 km from centre","7.2","Good","250 reviews","Deluxe Room","Beds: 1 double or 2 singles"
"Treebo Trend Golden Swan Airport Free Pick & Drop","South Chennai, Chennai","12.6 km from centre","7.8","Good","1,433 reviews","Standard Double Room","1 large double bed"
"Treebo Trend Elan","Nungambakkam, Chennai","1.7 km from centre","6.9","Review score","356 reviews","Standard Double Room","2 single beds"
"Novotel Chennai Sipcot","SIPCOT IT Park, Chennai","23.3 km from centre","8.1","Very good","1,445 reviews","Superior King Room","1 extra-large double bed"
"FabExpress P.A.S Residency","Mylapore, Chennai","4.3 km from centre","8.1","Very good","1,650 reviews","Deluxe Room","1 double bed"
"Essentia Premier Hotel, Chennai","Thoraipakkam, Chennai","10 km from centre","8.3","Very good","550 reviews","Standard Queen Room","1 single bed"
"Vivanta Chennai IT Expressway OMR","Sholinganallur, Chennai","15 km from centre","8.3","Very good","1,712 reviews","Superior Room OMR View 25% Off on Food & Soft Beverages","1 extra-large double bed"
"Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur","Chennai","10.2 km from centre","8.2","Very good","325 reviews","Comfort Double","1 double bed"
"Radisson Blu Hotel Chennai City Centre","Egmore-Nungambakam, Chennai","3.8 km from centre","8.3","Very good","2,080 reviews","Standard Double or Twin Room","Beds: 1 double or 2 singles"
"FabExpress B Zone","Nungambakkam, Chennai","2.1 km from centre","8.3","Very good","1,156 reviews","Deluxe Room","1 double bed"
